"어업별","품종별","행정구역별","판매형태별","항목","단위","2016.01 월","2016.02 월","2016.03 월","2016.04 월","2016.05 월","2016.06 월","2016.07 월","2016.08 월","2016.09 월","2016.10 월","2016.11 월","2016.12 월","2017.01 월","2017.02 월","2017.03 월","2017.04 월","2017.05 월","2017.06 월","2017.07 월","2017.08 월","2017.09 월","2017.10 월","2017.11 월","2017.12 월","2018.01 월","2018.02 월","2018.03 월","2018.04 월","2018.05 월","2018.06 월","2018.07 월","2018.08 월","2018.09 월","2018.10 월","2018.11 월","2018.12 월","2019.01 월","2019.02 월","2019.03 월","2019.04 월","2019.05 월","2019.06 월","2019.07 월","2019.08 월","2019.09 월","2019.10 월","2019.11 월","2019.12 월","2020.01 월","2020.02 월","2020.03 월","2020.04 월","2020.05 월","2020.06 월","2020.07 월","2020.08 월","2020.09 월","2020.10 월","2020.11 월","2020.12 월","2021.01 월","2021.02 월","2021.03 월","2021.04 월","2021.05 월","2021.06 월","2021.07 월","2021.08 월","2021.09 월","2021.10 월","2021.11 월","2021.12 월","2022.01 월","2022.02 월","2022.03 월","2022.04 월","2022.05 월","2022.06 월","2022.07 월","2022.08 월",
"계","원양어업","인도양","계","생산량:계","","3457","2155","3305","1300","1777","1164","2429","2303","2608","2000","2577","1505","1104.193","17053.272","1842.231","1757.386","992.829","1388.917","1330.679","1669.424","2433.104","2846.804","1541.518","2536.992","3003.976","1991.074","1545.332","1984.671","1071.356","699.318","1044.406","1054.389","2770.15","1666.707","2786.585","2245.565","2791.066","1786.094","2132.506","2292.904","2085.172","897.659","2730.177","1830.905","2146.257","1577.224","2170.124","2417.43","1373.201","1767.677","1414.813","1613.234","1064.03","1186.614","1070.152","408.345","783.017","2518.61","1719.257","1318.21","1523.64","2387.21","2033.228","1305.684","1613.505","1341.591","1026.546","2029.997","2752.217","2906.034","2692.88","2027.498","1714.436","2017.993","1672.369","2170.424","1869.591","926.219","489.423","771.427",
"계","원양어업","인도양","비계통","생산량:계","","3457","2155","3305","1300","1777","1164","2429","2303","2608","2000","2577","1505","1104.193","17053.272","1842.231","1757.386","992.829","1388.917","1330.679","1669.424","2433.104","2846.804","1541.518","2536.992","3003.976","1991.074","1545.332","1984.671","1071.356","699.318","1044.406","1054.389","2770.15","1666.707","2786.585","2245.565","2791.066","1786.094","2132.506","2292.904","2085.172","897.659","2730.177","1830.905","2146.257","1577.224","2170.124","2417.43","1373.201","1767.677","1414.813","1613.234","1064.03","1186.614","1070.152","408.345","783.017","2518.61","1719.257","1318.21","1523.64","2387.21","2033.228","1305.684","1613.505","1341.591","1026.546","2029.997","2752.217","2906.034","2692.88","2027.498","1714.436","2017.993","1672.369","2170.424","1869.591","926.219","489.423","771.427",
"계","원양어업","남빙양","계","생산량:계","","318","135","685","5546","10594","2436","3294","629","","","3","717","178.886","112.049","5226.761","9531.546","7612.727","6254.436","3619.229","1806.698","518.03","","","577.312","302.973","36.647","2064.064","8930.621","10854.596","6992.628","1912.908","3316.154","1937.193","","","437.951","302.839","4401.435","8999.695","10436.579","6672.949","7180.892","5287.446","37.722","","","","570.319","724.132","6122.107","7031.765","10070.552","9687.298","2285.065","3456.158","4138.629","1607.906","","","463.583","962.89","3825.272","4321.344","8901.657","9763.774","6055.606","2977.468","2152.063","","","","1188.935","390.815","719.287","7419.859","7309.026","6806.366","6616.38","2140.056","",
"계","원양어업","남빙양","비계통","생산량:계","","318","135","685","5546","10594","2436","3294","629","","","3","717","178.886","112.049","5226.761","9531.546","7612.727","6254.436","3619.229","1806.698","518.03","","","577.312","302.973","36.647","2064.064","8930.621","10854.596","6992.628","1912.908","3316.154","1937.193","","","437.951","302.839","4401.435","8999.695","10436.579","6672.949","7180.892","5287.446","37.722","","","","570.319","724.132","6122.107","7031.765","10070.552","9687.298","2285.065","3456.158","4138.629","1607.906","","","463.583","962.89","3825.272","4321.344","8901.657","9763.774","6055.606","2977.468","2152.063","","","","1188.935","390.815","719.287","7419.859","7309.026","6806.366","6616.38","2140.056","",
"계","내수면어업","계","계","생산량:계","","2071.96972","2016.64997","2426.62721","3077.12104","3108.25265","3007.13245","3743.0817","3826.41118","3566.65752","3470.25954","2592.58","2493.03859","2121.97138","2085.95131","2950.12087","2665.65473","3192.82409","3228.43503","3822.20156","4138.63111","3463.12909","3492.77611","2778.69201","2329.50788","2148.17701","1810.54953","2411.92872","2779.74404","2693.13411","2852.19317","3500.76694","4094.1686","3575.20292","3794.79509","3062.66576","2602.98885","2319.02452","1956.14723","2168.17321","2630.18336","3059.75416","3053.39431","3399.57133","3668.92916","3227.4558","3869.38455","3254.62614","2675.17235","2364.42604","1571.50883","1901.666","2572.03635","3257.93134","3089.28839","3364.42405","3024.15301","3723.27023","4132.98094","2541.94132","2424.78118","2209.77865","2122.17626","2801.30168","3265.8155","3805.63789","3653.12577","4229.51358","4654.59896","4576.84101","4535.45421","4126.55966","2682.44702","2473.97873","2274.50299","2722.00276","3718.66044","4193.18627","3651.82783","4727.05229","5566.31936",
"계","내수면어업","계","비계통","생산량:계","","2071.96972","2016.64997","2426.62721","3077.12104","3108.25265","3007.13245","3743.0817","3826.41118","3566.65752","3470.25954","2592.58","2493.03859","2121.97138","2085.95131","2950.12087","2665.65473","3192.82409","3228.43503","3822.20156","4138.63111","3463.12909","3492.77611","2778.69201","2329.50788","2148.17701","1810.54953","2411.92872","2779.74404","2693.13411","2852.19317","3500.76694","4094.1686","3575.20292","3794.79509","3062.66576","2602.98885","2319.02452","1956.14723","2168.17321","2630.18336","3059.75416","3053.39431","3399.57133","3668.92916","3227.4558","3869.38455","3254.62614","2675.17235","2364.42604","1571.50883","1901.666","2572.03635","3257.93134","3089.28839","3364.42405","3024.15301","3723.27023","4132.98094","2541.94132","2424.78118","2209.77865","2122.17626","2801.30168","3265.8155","3805.63789","3653.12577","4229.51358","4654.59896","4576.84101","4535.45421","4126.55966","2682.44702","2473.97873","2274.50299","2722.00276","3718.66044","4193.18627","3651.82783","4727.05229","5566.31936",
"계","내수면어업","부산광역시","계","생산량:계","","39.07","45.138","63.635","75.762","68.718","100.445","339.483","230.324","259.58","185.352","82.781","108.743","20.39193","44.11573","103.62051","58.23632","85.35889","163.08223","404.67861","253.78744","261.78094","270.19841","143.48629","37.05683","15.0875","23.238","55.292","59.908","62.44","170.99","230.833","538.712","323.39","451.33","55.312","41.554","38.73638","72.22401","88.57076","72.08697","64.83464","50.42158","141.31472","229.71372","192.04702","61.48729","48.39077","50.0034","56.0459","53.281","55.519","65.337","69.9378","60.609","187.382","253.729","302.5045","269.604","59.673","45.173","38.51064","40.85439","60.37426","52.70284","47.7992","50.04815","241.69077","571.62265","192.82943","163.02152","187.38114","37.6344","66.8775","68.66375","89.8655","82.46875","67.24725","53.8055","241.48125","319.9472",
"계","내수면어업","부산광역시","비계통","생산량:계","","39.07","45.138","63.635","75.762","68.718","100.445","339.483","230.324","259.58","185.352","82.781","108.743","20.39193","44.11573","103.62051","58.23632","85.35889","163.08223","404.67861","253.78744","261.78094","270.19841","143.48629","37.05683","15.0875","23.238","55.292","59.908","62.44","170.99","230.833","538.712","323.39","451.33","55.312","41.554","38.73638","72.22401","88.57076","72.08697","64.83464","50.42158","141.31472","229.71372","192.04702","61.48729","48.39077","50.0034","56.0459","53.281","55.519","65.337","69.9378","60.609","187.382","253.729","302.5045","269.604","59.673","45.173","38.51064","40.85439","60.37426","52.70284","47.7992","50.04815","241.69077","571.62265","192.82943","163.02152","187.38114","37.6344","66.8775","68.66375","89.8655","82.46875","67.24725","53.8055","241.48125","319.9472",
"계","내수면어업","대구광역시","계","생산량:계","",".824","16.27","7.273","1.971","11.202","11.038",".81","1.126",".991","1.156","11.759","1.182","10.83","41.249","16.022",".928","15.711",".242",".515","15.599","17.268","16.041","2.962","1.23","4.577","1.065","5.118","2.601",".43",".729",".611","1.252",".595",".8","1.24","1.335",".475","2.098","1.466",".618",".733","1.635",".663","1.33",".927",".871",".977","1.596","1.2852","1.4868","1.302","1.4616","1.4604","1.1448","1.5348","1.6392",".7668",".6432",".8796",".7452",".9696","1.6536","1.2648","1.476",".768",".7416",".624",".5904",".9216",".606",".5472",".4704",".5676",".7992","1.026",".8364",".966",".9024",".9048",".996",
"계","내수면어업","대구광역시","비계통","생산량:계","",".824","16.27","7.273","1.971","11.202","11.038",".81","1.126",".991","1.156","11.759","1.182","10.83","41.249","16.022",".928","15.711",".242",".515","15.599","17.268","16.041","2.962","1.23","4.577","1.065","5.118","2.601",".43",".729",".611","1.252",".595",".8","1.24","1.335",".475","2.098","1.466",".618",".733","1.635",".663","1.33",".927",".871",".977","1.596","1.2852","1.4868","1.302","1.4616","1.4604","1.1448","1.5348","1.6392",".7668",".6432",".8796",".7452",".9696","1.6536","1.2648","1.476",".768",".7416",".624",".5904",".9216",".606",".5472",".4704",".5676",".7992","1.026",".8364",".966",".9024",".9048",".996",
"계","내수면어업","인천광역시","계","생산량:계","","18.7","21.6","20.39","18.53","30.45","16.809","25.933","28.357","18.58","11.308",".547","12.37","7.39","5.44","20.5","25.65","27.115","21.7","37.1","32.35","13.4","21.2","19.03","9.64","2.03","7.35","16.55","6.55","17.75","17.58","29.68","17.28","12.53","14.56","12.47","48.53","10.3","10.38","10.01","19.5","12.7","12.69","12.105","7.76","4.92","13.27","1.45","14.06","9.11","23.786","27.478","11.04","35.93","16.966","27.12","15.01","9.45","2.97","13.324","21.533","15.64","18.544","11.068","7.418","7.492","16.997","39.457","36.905","34.863","35.21","31.476","32.119","26.3","30.492","23.785","34.593","33.13","33.58","63","24.963",
"계","내수면어업","인천광역시","비계통","생산량:계","","18.7","21.6","20.39","18.53","30.45","16.809","25.933","28.357","18.58","11.308",".547","12.37","7.39","5.44","20.5","25.65","27.115","21.7","37.1","32.35","13.4","21.2","19.03","9.64","2.03","7.35","16.55","6.55","17.75","17.58","29.68","17.28","12.53","14.56","12.47","48.53","10.3","10.38","10.01","19.5","12.7","12.69","12.105","7.76","4.92","13.27","1.45","14.06","9.11","23.786","27.478","11.04","35.93","16.966","27.12","15.01","9.45","2.97","13.324","21.533","15.64","18.544","11.068","7.418","7.492","16.997","39.457","36.905","34.863","35.21","31.476","32.119","26.3","30.492","23.785","34.593","33.13","33.58","63","24.963",
